City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,69,40,13.8,scattered clouds
145,Fortuna,US,40.5982,-124.1573,54.93,91,100,0.0,overcast clouds
146,Nouadhibou,MR,20.931,-17.0347,82.38,57,56,17.27,broken clouds
147,Sitka,US,57.0531,-135.33,49.89,87,75,3.44,mist
148,Xai-Xai,MZ,-25.0519,33.6442,65.05,76,4,7.58,clear sky
149,Port Augusta,AU,-32.5,137.7667,52.16,59,100,3.89,overcast clouds
150,Lunglei,IN,22.8833,92.7333,68.18,98,97,2.48,moderate rain
151,Soria,ES,41.6667,-2.6667,79.86,29,28,17.94,scattered clouds
152,Kahului,US,20.8947,-156.47,75.85,82,40,8.99,scattered clouds
153,Vanavara,RU,60.34,102.2797,47.41,70,80,4.81,broken clouds
154,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,78,20,10.36,few clouds
155,Sri Aman,MY,1.2376,111.4621,78.85,94,99,2.3,overcast clouds
156,Khatanga,RU,71.9667,102.5,38.37,95,100,8.97,light rain
157,Luderitz,NA,-26.6481,15.1594,67.6,37,0,12.3,clear sky
158,Ust-Tsilma,RU,65.441,52.1498,64.94,34,86,4.38,overcast clouds
159,Egvekinot,RU,66.3167,-179.1667,35.38,82,84,3.47,broken clouds
160,Khuzdar,PK,27.7384,66.6434,81.55,6,0,8.39,clear sky
161,Urucara,BR,-2.5364,-57.76,84.42,72,77,2.71,moderate rain
162,Majene,ID,-3.5403,118.9707,80.11,84,87,4.61,overcast clouds
163,Biograd Na Moru,HR,43.9433,15.4519,83.1,63,0,4.38,clear sky
164,Gijon,ES,43.5357,-5.6615,69.44,92,60,5.99,broken clouds
165,Hithadhoo,MV,-0.6,73.0833,83.75,69,72,10.25,broken clouds
166,Nishihara,JP,26.1842,127.7558,76.28,97,100,10.36,light intensity shower rain
167,Kushiro,JP,42.975,144.3747,49.14,97,100,1.81,overcast clouds
168,Rawson,AR,-43.3002,-65.1023,48.51,57,40,11.56,scattered clouds
169,Sharjah,AE,25.3573,55.4033,104.29,12,0,12.66,clear sky
170,Ishigaki,JP,24.3448,124.1572,80.73,100,75,9.22,broken clouds
171,Esmeralda,CU,21.8525,-78.1169,83.79,64,100,7.25,overcast clouds
172,Teknaf,BD,20.8624,92.3058,80.19,84,96,5.41,overcast clouds
173,Wagar,SD,16.1525,36.2032,104.95,13,30,4.83,scattered clouds
174,Puno,PE,-15.8333,-70.0333,54.97,44,100,7.11,overcast clouds
175,Tabat,ID,-2.635,115.2274,75.34,90,31,1.21,scattered clouds
176,Road Town,VG,18.4167,-64.6167,84.24,65,20,6.91,few clouds
177,Gladstone,AU,-23.85,151.25,62.78,55,40,3.44,scattered clouds
178,Port Hedland,AU,-20.3167,118.5667,60.85,94,99,6.91,overcast clouds
