City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Port Macquarie,AU,2022-05-26 17:05:43,-31.4333,152.9167,53.89,93,8,3.62
180,Saint Anthony,US,2022-05-26 17:05:43,45.0205,-93.218,55.85,78,100,12.66
181,Puerto Del Rosario,ES,2022-05-26 17:05:44,28.5004,-13.8627,71.35,68,20,12.66
182,Ostrovnoy,RU,2022-05-26 17:05:44,68.0531,39.5131,35.31,96,100,16.31
183,Northallerton,GB,2022-05-26 17:05:45,54.339,-1.4324,64.22,45,75,23.02
184,Chubbuck,US,2022-05-26 17:05:45,42.9208,-112.4661,79.0,28,0,8.99
185,Chihuahua,MX,2022-05-26 17:05:45,28.5,-106.0,86.83,8,0,8.23
186,Saskylakh,RU,2022-05-26 17:05:46,71.9167,114.0833,30.18,95,100,10.47
187,Saint-Joseph,RE,2022-05-26 17:05:46,-21.3667,55.6167,73.78,77,24,3.62
188,Kandrian,PG,2022-05-26 17:05:46,-6.2167,149.55,76.48,88,100,4.47
189,Verkhnya Syrovatka,UA,2022-05-26 17:05:47,50.829,34.9586,55.17,85,62,9.95
190,Chernyshevskiy,RU,2022-05-26 17:05:47,63.0128,112.4714,33.08,64,71,7.9
191,Wanaka,NZ,2022-05-26 17:05:48,-44.7,169.15,39.4,65,1,2.3
192,Tuatapere,NZ,2022-05-26 17:05:48,-46.1333,167.6833,39.11,88,1,2.71
193,Ranghulu,CN,2022-05-26 17:05:48,46.65,124.8667,59.29,76,99,5.12
194,Camacha,PT,2022-05-26 17:05:49,33.0833,-16.3333,67.42,60,40,11.5
195,Hillsboro,US,2022-05-26 17:05:49,45.5229,-122.9898,66.07,72,100,3.44
196,Kaabong,UG,2022-05-26 17:05:49,3.4836,34.1492,64.65,82,99,4.0
197,Okitipupa,NG,2022-05-26 17:05:50,6.5047,4.7839,81.1,77,92,5.64
198,Padang,ID,2022-05-26 17:05:50,-0.9492,100.3543,78.85,79,97,4.32
199,Rosarito,MX,2022-05-26 17:05:50,32.3333,-117.0333,69.48,68,25,6.76
200,Alice Springs,AU,2022-05-26 17:03:35,-23.7,133.8833,49.55,71,13,3.44
201,Mareeba,AU,2022-05-26 17:05:51,-17.0,145.4333,63.45,93,6,1.95
202,Chivilcoy,AR,2022-05-26 17:05:51,-34.8957,-60.0167,56.32,35,11,8.9
203,Lavrentiya,RU,2022-05-26 17:05:51,65.5833,-171.0,32.13,95,95,5.19
204,Cockburn Town,TC,2022-05-26 17:05:52,21.4612,-71.1419,79.54,72,13,15.95
205,Exeter,GB,2022-05-26 17:01:53,50.7236,-3.5275,65.93,74,75,11.5
206,Mount Isa,AU,2022-05-26 17:01:54,-20.7333,139.5,53.37,66,0,5.75
207,Nargana,PA,2022-05-26 17:05:52,9.4428,-78.5906,83.25,74,100,3.2
208,Hasaki,JP,2022-05-26 17:05:53,35.7333,140.8333,68.4,85,100,19.53
209,Daru,PG,2022-05-26 17:05:53,-9.0763,143.2092,79.74,71,82,10.33
210,Bandarbeyla,SO,2022-05-26 17:05:53,9.4942,50.8122,81.25,83,85,23.6
211,Sao Filipe,CV,2022-05-26 17:05:54,14.8961,-24.4956,72.99,80,14,7.58
212,Bisho,ZA,2022-05-26 17:05:54,-32.8472,27.4422,55.06,93,79,2.46
213,Staryy Nadym,RU,2022-05-26 17:05:54,65.6118,72.6842,57.78,37,68,20.96
214,Asau,RO,2022-05-26 17:05:55,46.4333,26.4,68.92,72,53,0.18
215,Bukama,CD,2022-05-26 17:05:55,-9.2,25.85,72.99,43,5,1.39
216,Bilma,NE,2022-05-26 17:05:55,18.6853,12.9164,100.76,7,2,2.21
217,Sinnamary,GF,2022-05-26 17:01:14,5.3833,-52.95,81.41,81,86,9.78
218,Tiarei,PF,2022-05-26 17:05:56,-17.5333,-149.3333,73.42,72,10,15.41
219,Uarini,BR,2022-05-26 17:05:56,-2.99,-65.1083,90.88,48,42,6.51
220,Goderich,CA,2022-05-26 17:05:56,43.7501,-81.7165,58.66,94,100,18.32
221,Vardo,NO,2022-05-26 17:03:11,70.3705,31.1107,40.98,87,20,10.36
222,Turukhansk,RU,2022-05-26 17:05:57,65.8167,87.9833,50.13,56,3,13.18
223,Sao Jose Da Coroa Grande,BR,2022-05-26 17:05:57,-8.8978,-35.1478,79.0,83,62,15.14
224,San Cristobal,VE,2022-05-26 17:05:58,7.7669,-72.225,78.98,60,100,6.13
225,Bomet,KE,2022-05-26 17:05:58,-0.7813,35.3416,55.78,97,95,2.64
226,Thinadhoo,MV,2022-05-26 17:05:58,0.5333,72.9333,83.89,68,41,9.17
227,Aitape,PG,2022-05-26 17:05:58,-3.1374,142.3475,76.84,88,50,3.29
228,Azovo,RU,2022-05-26 17:05:59,54.6997,73.0237,76.75,45,7,17.36
229,Vila Velha,BR,2022-05-26 17:05:59,-20.3297,-40.2925,80.55,68,40,8.05
230,Alta Floresta,BR,2022-05-26 17:06:00,-9.8756,-56.0861,88.68,33,7,6.67
231,Haines Junction,CA,2022-05-26 17:06:00,60.7522,-137.5108,47.3,59,84,2.21
232,Moron,AR,2022-05-26 17:06:00,-34.6534,-58.6198,57.79,69,9,7.45
233,Mackay,AU,2022-05-26 17:06:01,-21.15,149.2,63.68,83,0,9.53
234,Tessalit,ML,2022-05-26 17:06:02,20.1986,1.0114,102.56,11,64,9.48
235,Makakilo City,US,2022-05-26 17:02:35,21.3469,-158.0858,75.18,62,1,13.15
236,Merritt Island,US,2022-05-26 17:06:03,28.5392,-80.672,90.09,61,40,11.5
237,Ardmore,US,2022-05-26 17:05:40,34.1743,-97.1436,74.71,44,0,17.27
238,Neunkirchen,DE,2022-05-26 17:06:04,49.35,7.1833,70.59,50,20,12.66
239,Mutare,ZW,2022-05-26 17:06:05,-18.9707,32.6709,59.43,59,0,2.21
240,Mayumba,GA,2022-05-26 17:06:05,-3.432,10.6554,75.43,85,93,4.34
241,Inirida,CO,2022-05-26 17:06:05,3.8653,-67.9239,81.61,86,95,1.68
242,Leshukonskoye,RU,2022-05-26 17:06:06,64.8989,45.7622,48.38,85,100,6.2
243,Erzincan,TR,2022-05-26 17:06:06,39.75,39.5,60.1,51,0,0.0
244,Cabo San Lucas,MX,2022-05-26 17:04:56,22.8909,-109.9124,83.61,44,0,3.44
245,Mehamn,NO,2022-05-26 17:06:07,71.0357,27.8492,42.71,62,6,21.14
246,Netarhat,IN,2022-05-26 17:06:07,23.4833,84.2667,73.27,34,47,4.94
247,Caravelas,BR,2022-05-26 17:06:08,-17.7125,-39.2481,78.85,51,10,8.7
248,Praxedis Guerrero,MX,2022-05-26 17:06:08,31.3667,-106.0167,83.66,10,0,1.81
249,Kudahuvadhoo,MV,2022-05-26 17:06:08,2.6708,72.8944,83.46,69,30,10.22
250,Ust-Kulom,RU,2022-05-26 17:06:09,61.6864,53.6902,42.69,90,59,5.03
251,Longyearbyen,SJ,2022-05-26 17:06:09,78.2186,15.6401,42.64,81,0,4.61
252,Invermere,CA,2022-05-26 17:06:10,50.5167,-116.0354,60.37,54,94,5.57
253,Talnakh,RU,2022-05-26 17:06:10,69.4865,88.3972,29.62,86,68,3.33
254,Bambous Virieux,MU,2022-05-26 17:06:10,-20.3428,57.7575,71.85,83,40,3.44
255,Yerbogachen,RU,2022-05-26 17:06:11,61.2767,108.0108,36.63,72,72,7.74
256,Namibe,AO,2022-05-26 17:06:11,-15.1961,12.1522,69.06,78,2,7.31
257,Quebo,GW,2022-05-26 17:06:11,11.3333,-14.9333,84.16,62,95,7.52
258,Yeppoon,AU,2022-05-26 17:06:12,-23.1333,150.7333,62.38,90,3,9.8
