City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Laguna,US,38.421,-121.4238,82.38,15,0,14.97,clear sky
129,Ballina,AU,-28.8667,153.5667,66.38,54,2,14.56,clear sky
130,Vaitape,PF,-16.5167,-151.75,80.29,70,91,10.13,overcast clouds
131,Puerto Penasco,MX,31.3167,-113.5333,75.9,78,0,5.99,clear sky
132,Saskylakh,RU,71.9167,114.0833,27.16,91,90,4.79,overcast clouds
133,Batagay,RU,67.6333,134.6333,48.15,79,100,2.55,overcast clouds
134,Norman Wells,CA,65.282,-126.8329,66.24,42,40,10.36,scattered clouds
135,Bucerias,MX,20.75,-105.3333,80.58,74,20,8.05,few clouds
136,Ewa Beach,US,21.3156,-158.0072,87.75,48,0,16.11,clear sky
137,Cabo Rojo,PR,18.0866,-67.1457,81.73,83,99,1.01,overcast clouds
138,Thompson,CA,55.7435,-97.8558,46.56,87,100,14.97,overcast clouds
139,Abbeville,FR,50.1,1.8333,49.96,84,51,3.51,broken clouds
140,Khani,GE,41.9563,42.9566,53.17,70,0,6.51,clear sky
141,Port Alfred,ZA,-33.5906,26.891,53.19,68,81,3.0,broken clouds
142,Torbay,CA,47.6666,-52.7314,56.17,60,75,6.91,broken clouds
143,Plettenberg Bay,ZA,-34.0527,23.3716,54.84,72,55,15.86,light rain
144,Leningradskiy,RU,69.3833,178.4167,40.69,78,100,4.45,overcast clouds
145,Iroquois Falls,CA,48.7669,-80.6831,55.6,91,100,10.04,overcast clouds
146,Salalah,OM,17.0151,54.0924,84.29,84,75,5.75,broken clouds
147,Burnie,AU,-41.0667,145.9167,52.95,61,89,17.0,overcast clouds
148,Minab,IR,27.1467,57.0801,75.52,73,0,0.0,clear sky
149,Clarksburg,US,39.2807,-80.3445,75.65,73,0,0.0,clear sky
150,Shingu,JP,33.7333,135.9833,70.57,83,100,4.32,overcast clouds
151,Puerto Ayora,EC,-0.7393,-90.3518,71.62,91,100,8.39,overcast clouds
152,Hambantota,LK,6.1241,81.1185,75.54,100,40,10.36,light rain
153,Arraial Do Cabo,BR,-22.9661,-42.0278,64.36,94,0,0.0,clear sky
154,Conde,BR,-7.2597,-34.9075,76.46,94,75,9.22,broken clouds
155,Agadez,NE,19.75,10.25,82.58,10,0,2.13,clear sky
156,Saint George,US,37.1041,-113.5841,77.63,12,0,8.05,clear sky
157,Nouakchott,MR,18.0858,-15.9785,75.13,67,26,15.9,scattered clouds
158,Maymyo,MM,22.0333,96.4667,74.97,75,10,1.95,clear sky
159,Mount Gambier,AU,-37.8333,140.7667,44.73,86,78,20.31,light rain
160,Coquimbo,CL,-29.9533,-71.3436,53.33,76,0,5.75,clear sky
161,Lompoc,US,34.6391,-120.4579,64.78,68,0,25.01,haze
162,Provideniya,RU,64.3833,-173.3,41.11,81,0,8.95,clear sky
163,Taltal,CL,-25.4,-70.4833,57.92,80,8,4.09,clear sky
164,Cockburn Town,TC,21.4612,-71.1419,80.1,83,99,20.56,overcast clouds
165,Olafsvik,IS,64.8945,-23.7142,48.7,93,99,8.03,overcast clouds
166,Kamenka,RU,51.3223,42.7678,54.54,87,97,8.79,overcast clouds
167,Bobo Dioulasso,BF,11.1771,-4.2979,72.05,94,20,2.3,few clouds
168,Ca Mau,VN,9.1769,105.15,86.0,71,98,6.93,overcast clouds
169,Coracao De Jesus,BR,-16.6853,-44.365,62.82,46,0,2.3,clear sky
170,Troitskoye,RU,52.9821,84.6757,66.61,58,100,1.5,overcast clouds
171,Manokwari,ID,-0.8667,134.0833,83.35,71,84,6.62,broken clouds
172,Kaitangata,NZ,-46.2817,169.8464,62.24,64,5,3.44,clear sky
173,Opuwo,NA,-18.0607,13.84,60.93,36,0,8.81,clear sky
