City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Maunabo,PR,80.71,broken clouds,18.0072,-65.8993,Maunacaribe
124,Atuona,PF,77.97,clear sky,-9.8,-139.0333,Villa Enata
125,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
126,Mansoa,GW,79.0,overcast clouds,12.0733,-15.3189,Hotel Uaque
127,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
128,Laguna,US,82.38,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
129,Ballina,AU,66.38,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
130,Vaitape,PF,80.29,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
131,Puerto Penasco,MX,75.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
133,Batagay,RU,48.15,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
134,Norman Wells,CA,66.24,scattered clouds,65.282,-126.8329,Heritage Hotel
135,Bucerias,MX,80.58,few clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
136,Ewa Beach,US,87.75,clear sky,21.3156,-158.0072,Base Lodging
137,Cabo Rojo,PR,81.73,overcast clouds,18.0866,-67.1457,Hotel Perichi's
138,Thompson,CA,46.56,overcast clouds,55.7435,-97.8558,Burntwood Hotel
139,Abbeville,FR,49.96,broken clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
140,Khani,GE,53.17,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
141,Port Alfred,ZA,53.19,broken clouds,-33.5906,26.891,The Halyards Hotel
142,Torbay,CA,56.17,broken clouds,47.6666,-52.7314,Gallows Cove
143,Plettenberg Bay,ZA,54.84,light rain,-34.0527,23.3716,Thanda Vista B&B
144,Leningradskiy,RU,40.69,overcast clouds,69.3833,178.4167,Gostinitsa
145,Iroquois Falls,CA,55.6,overcast clouds,48.7669,-80.6831,Auberge MacDonald Guest Inn
146,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
147,Burnie,AU,52.95,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
148,Minab,IR,75.52,clear sky,27.1467,57.0801,Bam campground
149,Clarksburg,US,75.65,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
150,Shingu,JP,70.57,overcast clouds,33.7333,135.9833,Shingu UI Hotel
151,Puerto Ayora,EC,71.62,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
152,Hambantota,LK,75.54,light rain,6.1241,81.1185,Bungalow 63
153,Arraial Do Cabo,BR,64.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
154,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
156,Saint George,US,77.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
157,Nouakchott,MR,75.13,scattered clouds,18.0858,-15.9785,HOTEL IMAN
158,Maymyo,MM,74.97,clear sky,22.0333,96.4667,Tiger Hotel
159,Mount Gambier,AU,44.73,light rain,-37.8333,140.7667,The Commodore
160,Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Hotel San Juan
161,Lompoc,US,64.78,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
163,Taltal,CL,57.92,clear sky,-25.4,-70.4833,Residencial Karime
164,Cockburn Town,TC,80.1,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
165,Olafsvik,IS,48.7,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
167,Bobo Dioulasso,BF,72.05,few clouds,11.1771,-4.2979,IBA Hotel
168,Ca Mau,VN,86.0,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
169,Coracao De Jesus,BR,62.82,clear sky,-16.6853,-44.365,Hotel Neves
171,Manokwari,ID,83.35,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
172,Kaitangata,NZ,62.24,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
174,Upernavik,GL,26.2,scattered clouds,72.7868,-56.1549,Café de Upernavik
175,Pangnirtung,CA,25.3,scattered clouds,66.1451,-65.7125,Kilabuk Lodge
176,Marmato,CO,69.17,overcast clouds,5.4784,-75.5927,Hotel El Guadual
177,Banda Aceh,ID,84.56,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
178,Aden,YE,85.6,few clouds,12.7794,45.0367,Sama Emirate Hotel
180,Salinopolis,BR,78.19,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
182,Kruisfontein,ZA,53.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
183,Kobryn,BY,42.98,overcast clouds,52.2138,24.3564,Suvorov-Apartamenty
185,Naples,IT,71.15,few clouds,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
186,Naze,JP,74.32,overcast clouds,28.3667,129.4833,Shishime Hotel
187,Matara,LK,75.99,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
188,Strezhevoy,RU,52.57,clear sky,60.7333,77.5889,Sibiryachka
